"","PVal","AvgMeth","PValClone"
"AMPL376389",3.58570899448734e-13,0.851062297443287,2.48445747857949e-06
"AMPL388818",1.06554434438968e-19,0.289953186892328,1.66604195034363e-14
"AMPL371802",4.30810712127236e-11,0.717464890169243,3.8495637566542e-137
"AMPL388428",6.38909030944058e-06,0.0474612891609658,1.13808442952143e-100
"AMPL390606",7.72517192203705e-07,0.948073460568959,3.88415614044913e-13
"AMPL388351",5.86905299312893e-08,0.640331292761975,0.0100719525804976
"AMPL371757",2.01127304088343e-05,0.794670507742162,2.34183585356797e-184
"AMPL388260",0.0451239609599282,0.767879006121711,2.60811626084077e-103
"AMPL388402",0.000121308905431419,0.908822470291682,1
"AMPL388730",0.151152760418123,0.935109830752612,3.35675953018991e-14
"AMPL388354",1.12763696965888e-26,0.804249189773134,8.84405082960928e-09
"AMPL388447",1.34584177359693e-05,0.969895570759811,0.118081823403741
"AMPL390547",7.49934321432365e-07,0.43730644580482,6.72296097065646e-45
"AMPL388634",0.0106584289097627,0.515808426359372,0
"AMPL390256",2.62935540283432e-08,0.477493698235505,2.88495792831746e-161
"AMPL388671",3.87059063636743e-28,0.119841555635577,1
"AMPL390079",0.00130384929459355,0.681166726683471,0
"AMPL376650",1.92444865124125e-24,0.0679150162045371,2.61251602573953e-08
"AMPL388631",0.0171179683315617,0.866546633057257,6.90412191645597e-153
"AMPL388478",0.0208266488353726,0.772488296723092,3.77290824975143e-133
"AMPL388530",0.0503114228119113,0.689593086064101,5.0354909436981e-39
"AMPL388514",1.07717286383178e-07,0.888080662585519,0
"AMPL376689",2.02050001254934e-26,0.176089305005401,5.98918836011758e-13
"AMPL371322",1.99177129661003e-16,0.506085703997122,0
"AMPL366150",0.0481712889661294,0.955995678790062,0.158525461505061
"AMPL390130",0.000172496350873631,0.8566798703637,0
"AMPL376310",0.0400490355463198,0.760965070219667,0
"AMPL388450",0.00291338080653985,0.811667266834711,0
"AMPL388761",0.00039463887708198,0.767590925459128,1.20179332665596e-32
"AMPL388758",9.65926984603313e-06,0.783291321570044,9.47642408991698e-20
"AMPL388232",2.02398184879476e-38,0.659704717320845,5.25718192958081e-16
"AMPL366102",2.05336505287707e-08,0.362837594526467,1
"AMPL388796",0.00816110115194785,0.706661865322285,0
"AMPL388861",0.0138977991071461,0.673676629456246,6.46059102020471e-47
"AMPL376698",5.12262757674441e-09,0.79863161685272,1.3392160724774e-124
"AMPL388801",1.90970106802346e-09,0.384587684551674,5.10460231722919e-54
"AMPL388346",3.33157726231392e-13,0.917680950666191,3.69807565122962e-19
"AMPL388246",8.81849342799141e-58,0.766438602808784,4.03586263718923e-11
"AMPL388335",3.86033786604104e-76,0.591933741447606,1.81399657793616e-19
"AMPL388203",5.06085065223752e-32,0.0603528988116675,1.68774280855386e-16
"AMPL388780",0.000884694935260251,0.926467410875045,4.784429882123e-42
"AMPL376517",4.58092423620757e-20,0.241627655743607,1.93908654934964e-184
"AMPL388186",6.73187748385567e-21,0.923082463089665,0.568639657567102
"AMPL389962",0.0445447453784075,0.158444364422044,3.5327723396841e-08
"AMPL390347",0.00316728817355067,0.995894850558156,1
"AMPL388535",0.137180987605758,0.983435361901333,1
"AMPL390499",0.00960479996053633,0.964494058336338,2.15292502045007e-11
"AMPL388355",0.000100796237172747,0.817572920417717,6.33946148679388e-23
"AMPL388466",8.27706102270157e-13,0.23622614332013,7.33865963690923e-06
"AMPL371208",2.68393392707237e-14,0.166438602808786,0.0401776366746855
"AMPL376470",1.66063120561186e-13,0.549369823550596,3.08477400792838e-17
"AMPL390220",0.000430257731567213,0.927979834353626,7.45056821802877e-25
"AMPL365733",9.0603823277658e-25,0.291609650702196,1.47630932310799e-77
"AMPL390037",2.25339659908801e-15,0.663449765934467,7.42101598835474e-39
"AMPL388527",0.0216594648277158,0.999567879006122,1
"AMPL371607",9.34524283153334e-24,0.760172848397548,1.32199661587217e-16
"AMPL366035",3.70839589535565e-07,0.67396471011883,1.55422656310764e-50
"AMPL388561",4.35302879371241e-16,0.792293842275837,1
"AMPL388770",6.07035610539676e-57,0.391717680950665,2.83438863043226e-20
"AMPL371584",4.09477636382194e-06,0.576089305005394,1.45753380338802e-32
"AMPL376449",0.0063861234188498,0.711271155923658,0
"AMPL388341",2.24809431283512e-34,0.485415916456608,7.53869459401185e-17
"AMPL376728",4.98330095548123e-11,0.767590925459126,1.56306006309699e-188
"AMPL388743",0.000883635801190888,0.527475693194091,1.83065926700465e-08
"AMPL389965",0.000468816377876474,0.647101188332737,5.1765363045653e-205
"AMPL390408",1.14866810216769e-10,0.820453727043573,1.2954228325423e-173
"AMPL388704",4.51585828262569e-21,0.900972272236222,8.29051060796372e-93
"AMPL376635",3.2257333974231e-12,0.111415196254951,1.08841865655632e-19
"AMPL376822",0.0868790438280194,0.705365502340656,0
"AMPL388622",2.59303007999414e-08,0.989124954987397,1.18693119142756e-54
